entry,session,condition,pid,action,previous_decision,round,num_neighbors,group_size,fluid_dummy
1,1,Static,143,0,NA,1,5,32,0
2,1,Static,144,0,NA,1,11,32,0
3,1,Static,113,0,NA,1,3,32,0
4,1,Static,105,0,NA,1,7,32,0
5,1,Static,107,1,NA,1,6,32,0
6,1,Static,111,1,NA,1,2,32,0
7,1,Static,121,1,NA,1,1,32,0
8,1,Static,112,0,NA,1,4,32,0
9,1,Static,109,0,NA,1,5,32,0
10,1,Static,137,1,NA,1,4,32,0
11,1,Static,102,1,NA,1,10,32,0
12,1,Static,123,1,NA,1,3,32,0
13,1,Static,124,1,NA,1,7,32,0
14,1,Static,114,0,NA,1,4,32,0
15,1,Static,125,0,NA,1,6,32,0
16,1,Static,136,0,NA,1,4,32,0
17,1,Static,106,0,NA,1,5,32,0
18,1,Static,129,1,NA,1,6,32,0
19,1,Static,104,1,NA,1,5,32,0
20,1,Static,122,1,NA,1,8,32,0
21,1,Static,116,0,NA,1,8,32,0
22,1,Static,134,0,NA,1,7,32,0
23,1,Static,110,1,NA,1,6,32,0
24,1,Static,127,0,NA,1,3,32,0
25,1,Static,117,0,NA,1,7,32,0
26,1,Static,126,1,NA,1,4,32,0
27,1,Static,139,1,NA,1,4,32,0
28,1,Static,115,1,NA,1,8,32,0
29,1,Static,108,0,NA,1,5,32,0
30,1,Static,141,0,NA,1,6,32,0
31,1,Static,133,0,NA,1,7,32,0
32,1,Static,142,1,NA,1,5,32,0
33,1,Static,115,1,1,2,8,30,0
34,1,Static,107,1,1,2,6,30,0
35,1,Static,142,1,1,2,5,30,0
36,1,Static,111,0,1,2,2,30,0
37,1,Static,116,0,0,2,8,30,0
38,1,Static,113,1,0,2,3,30,0
39,1,Static,108,0,0,2,4,30,0
40,1,Static,121,1,1,2,1,30,0
41,1,Static,106,1,0,2,5,30,0
42,1,Static,143,0,0,2,4,30,0
43,1,Static,114,0,0,2,4,30,0
44,1,Static,136,0,0,2,4,30,0
45,1,Static,123,1,1,2,3,30,0
46,1,Static,126,1,1,2,4,30,0
47,1,Static,122,1,1,2,8,30,0
48,1,Static,105,0,0,2,7,30,0
49,1,Static,129,1,1,2,6,30,0
50,1,Static,102,0,1,2,10,30,0
51,1,Static,110,1,1,2,6,30,0
52,1,Static,139,1,1,2,2,30,0
53,1,Static,112,0,0,2,4,30,0
54,1,Static,124,1,1,2,6,30,0
55,1,Static,125,0,0,2,6,30,0
56,1,Static,109,0,0,2,5,30,0
57,1,Static,117,0,0,2,7,30,0
58,1,Static,141,1,0,2,6,30,0
59,1,Static,127,0,0,2,3,30,0
60,1,Static,134,1,0,2,7,30,0
61,1,Static,133,0,0,2,7,30,0
62,1,Static,144,0,0,2,9,30,0
63,1,Static,123,1,1,3,3,29,0
64,1,Static,107,1,1,3,6,29,0
65,1,Static,106,0,1,3,5,29,0
66,1,Static,105,0,0,3,7,29,0
67,1,Static,115,1,1,3,8,29,0
68,1,Static,102,0,0,3,9,29,0
69,1,Static,113,1,1,3,3,29,0
70,1,Static,109,0,0,3,4,29,0
71,1,Static,117,1,0,3,7,29,0
72,1,Static,139,1,1,3,2,29,0
73,1,Static,143,0,0,3,4,29,0
74,1,Static,124,0,1,3,6,29,0
75,1,Static,114,0,0,3,4,29,0
76,1,Static,116,0,0,3,8,29,0
77,1,Static,134,0,1,3,7,29,0
78,1,Static,108,0,0,3,3,29,0
79,1,Static,125,0,0,3,6,29,0
80,1,Static,122,1,1,3,7,29,0
81,1,Static,133,0,0,3,7,29,0
82,1,Static,110,0,1,3,6,29,0
83,1,Static,129,1,1,3,6,29,0
84,1,Static,112,0,0,3,4,29,0
85,1,Static,141,1,1,3,5,29,0
86,1,Static,126,1,1,3,4,29,0
87,1,Static,136,0,0,3,4,29,0
88,1,Static,121,1,1,3,1,29,0
89,1,Static,127,0,0,3,3,29,0
90,1,Static,144,0,0,3,9,29,0
91,1,Static,111,1,0,3,2,29,0
92,1,Static,129,1,1,4,5,26,0
93,1,Static,108,0,0,4,3,26,0
94,1,Static,107,1,1,4,5,26,0
95,1,Static,113,0,1,4,2,26,0
96,1,Static,121,1,1,4,1,26,0
97,1,Static,106,0,0,4,4,26,0
98,1,Static,141,1,1,4,5,26,0
99,1,Static,109,0,0,4,3,26,0
100,1,Static,139,1,1,4,2,26,0
101,1,Static,124,1,0,4,6,26,0
102,1,Static,112,0,0,4,3,26,0
103,1,Static,143,0,0,4,1,26,0
104,1,Static,144,0,0,4,8,26,0
105,1,Static,102,0,0,4,7,26,0
106,1,Static,116,0,0,4,7,26,0
107,1,Static,111,0,1,4,2,26,0
108,1,Static,105,0,0,4,6,26,0
109,1,Static,127,0,0,4,2,26,0
110,1,Static,126,1,1,4,4,26,0
111,1,Static,134,1,0,4,6,26,0
112,1,Static,110,0,0,4,6,26,0
113,1,Static,123,1,1,4,3,26,0
114,1,Static,125,0,0,4,6,26,0
115,1,Static,122,0,1,4,6,26,0
116,1,Static,136,0,0,4,4,26,0
117,1,Static,133,0,0,4,7,26,0
118,1,Static,123,1,1,5,3,26,0
119,1,Static,113,0,0,5,2,26,0
120,1,Static,112,0,0,5,3,26,0
121,1,Static,139,0,1,5,2,26,0
122,1,Static,108,0,0,5,3,26,0
123,1,Static,141,1,1,5,5,26,0
124,1,Static,121,1,1,5,1,26,0
125,1,Static,102,0,0,5,7,26,0
126,1,Static,133,0,0,5,7,26,0
127,1,Static,126,1,1,5,4,26,0
128,1,Static,143,0,0,5,1,26,0
129,1,Static,109,0,0,5,3,26,0
130,1,Static,107,0,1,5,5,26,0
131,1,Static,122,0,0,5,6,26,0
132,1,Static,124,1,1,5,6,26,0
133,1,Static,136,0,0,5,4,26,0
134,1,Static,105,0,0,5,6,26,0
135,1,Static,111,1,0,5,2,26,0
136,1,Static,106,0,0,5,4,26,0
137,1,Static,110,0,0,5,6,26,0
138,1,Static,116,0,0,5,7,26,0
139,1,Static,127,0,0,5,2,26,0
140,1,Static,129,1,1,5,5,26,0
141,1,Static,144,0,0,5,8,26,0
142,1,Static,125,0,0,5,6,26,0
143,1,Static,134,0,1,5,6,26,0
144,1,Static,129,1,1,6,5,26,0
145,1,Static,139,0,0,6,2,26,0
146,1,Static,108,0,0,6,3,26,0
147,1,Static,133,0,0,6,7,26,0
148,1,Static,109,0,0,6,3,26,0
149,1,Static,122,0,0,6,6,26,0
