entry,session,round,playerid,previouslytie,nowtie,playeraction,alteraction,other_d,action_num,break_tie,make_tie,state,CC,DD
1,4,1,428,0,1,C,C,0,1,NA,1,CC,1,0
2,4,1,412,0,1,D,C,0,1,NA,1,DC,0,0
3,4,1,422,1,1,D,C,0,0,0,NA,DC,0,0
4,4,1,404,1,1,C,C,0,0,0,NA,CC,1,0
5,4,1,426,1,1,C,C,0,0,0,NA,CC,1,0
6,4,1,411,0,0,C,D,1,0,NA,0,CD,0,0
7,4,1,406,0,0,C,C,0,0,NA,0,CC,1,0
8,4,1,423,1,1,D,C,0,0,0,NA,DC,0,0
9,4,1,415,1,1,D,C,0,0,0,NA,DC,0,0
10,4,1,408,1,1,C,C,0,0,0,NA,CC,1,0
11,4,1,405,0,1,D,C,0,1,NA,1,DC,0,0
12,4,1,433,1,1,D,C,0,0,0,NA,DC,0,0
13,4,1,410,1,1,D,D,1,0,0,NA,DD,0,1
14,4,1,412,0,1,D,D,1,1,NA,1,DD,0,1
15,4,1,428,0,1,C,C,0,1,NA,1,CC,1,0
16,4,1,430,1,0,C,C,0,1,1,NA,CC,1,0
17,4,1,432,1,0,C,D,1,1,1,NA,CD,0,0
18,4,1,400,1,0,C,D,1,1,1,NA,CD,0,0
19,4,1,417,1,1,D,C,0,0,0,NA,DC,0,0
20,4,1,413,1,0,C,D,1,1,1,NA,CD,0,0
21,4,1,422,1,0,D,D,1,1,1,NA,DD,0,1
22,4,1,401,1,0,D,C,0,1,1,NA,DC,0,0
23,4,1,419,1,1,C,D,1,0,0,NA,CD,0,0
24,4,1,404,1,1,C,C,0,0,0,NA,CC,1,0
25,4,1,414,0,1,C,C,0,1,NA,1,CC,1,0
26,4,1,416,0,1,C,C,0,1,NA,1,CC,1,0
27,4,1,411,0,1,C,C,0,1,NA,1,CC,1,0
28,4,1,423,1,1,D,C,0,0,0,NA,DC,0,0
29,4,1,406,0,1,C,D,1,1,NA,1,CD,0,0
30,4,1,412,0,1,D,C,0,1,NA,1,DC,0,0
31,4,1,405,0,1,D,D,1,1,NA,1,DD,0,1
32,4,1,426,0,0,C,D,1,0,NA,0,CD,0,0
33,4,1,415,0,1,D,C,0,1,NA,1,DC,0,0
34,4,1,421,0,0,D,C,0,0,NA,0,DC,0,0
35,4,1,428,0,1,C,C,0,1,NA,1,CC,1,0
36,4,1,402,1,0,D,D,1,1,1,NA,DD,0,1
37,4,1,416,0,0,C,C,0,0,NA,0,CC,1,0
38,4,1,408,0,1,C,D,1,1,NA,1,CD,0,0
39,4,1,423,1,1,D,C,0,0,0,NA,DC,0,0
40,4,1,404,0,0,C,C,0,0,NA,0,CC,1,0
41,4,1,412,0,1,D,C,0,1,NA,1,DC,0,0
42,4,1,424,1,0,C,D,1,1,1,NA,CD,0,0
